16-17/3/14																																																													
"time,"	position	"azimuths,"	zonal	"wind,"	meridional	"wind,"	reduced	"chisqr,"	"intensities,"	"temperatures,"	zonal	"distances,"	meridional	"distances,"	sig2noise																																														
	0	110997.24	55498.6	-55498.64	-110997.24	-55498.59	55498.62	214166.09	227910.78	214166.08	174589.78	113955.35	39576.32	-39576.36	-113955.43	-174589.81	-214166.09	-227910.78	-214166.08	-174589.8	-113955.34	-39576.25	39576.3	113955.39	174589.8	331353.91	352619.44	331353.88	270122.16	176309.66	61231.77	-61231.82	-176309.78	-270122.19	-331353.91	-352619.44	-331353.88	-270122.19	-176309.64	-61231.65	61231.73	176309.72	270122.19	457321.97	486671.84	457321.94	372812.25	243335.83	84509.73	-84509.82	-243336.02	-372812.31	-457321.97	-486671.84	-457321.94	-372812.28	-243335.81	-84509.58	84509.69	243335.92	372812.28
	9347.07	7913.69	6308.12	6451.32	8663.56	8404.3	5378.48	4507.07	3797.69	2225.69	2001.12	3205.29	3450.23	2850.15	2818.67	2930.54	2750.56	2653.86	2943	3639.68	2685.7	4504.08	2469.1	2491.78	3056.65	1971.47	1043.24	2051.64	1354.8	2068.85	1263.23	1669.63	1337.33	1778.06	1127.31	1486.77	1652.4	1776.34	1777.18	1586.24	1444.03	1793.64	1338.46	724.19	669.95	617.91	603.53	509.93	934.45	631.62	1208.73	1290.59	919.64	881.79	1033.61	706.36	1227.01	1261.43	865.58	790.58	927.47
	19.2494																																																												
	0	90	150	210	270	330	30	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50
	20.9	35.12	-34.76	-12.62	34.11	79.23	106.61	39.34	30.89	20.32	16.6	9.64	26.87	35.65	6.94	6.55	19.95	28.82	31.02	45.58	56.07	36.17	4.69	64.07	58.31	22.61	13.61	-11.05	4.6	-16.44	-31.45	-4.51	-5.69	-0.88	-13.63	10.4	22.91	30.97	53.14	24.53	60.78	27.42	28.77	-2.04	18.49	8.28	29.1	8.41	49.86	22.91	25.07	21.2	14.18	14.07	7.82	-3.27	9.08	38.93	7.71	-26.88	50.11
	8.54	42.82	46.14	-20.33	-58.68	-19.1	47.36	34.6	33.52	40.1	28.27	23.97	13.13	14.24	0.83	-12.6	-10.02	-31.85	8.69	-5.45	-1.67	12.04	8.1	31.45	44.48	34.12	42.36	76.61	19.88	27.21	18.93	9.31	3.31	-0.1	-52.02	-4.43	-19.83	-10.27	-11.15	9.91	19.77	18.76	28.11	-57.84	-53.44	25.91	-14.4	5.05	-4.75	3.65	9.36	12.54	5.24	35.04	22.85	25.93	7.17	-1.65	-0.48	-25.69	37.16
	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02	2.02
	1403.48	1240.82	1236.16	1244.07	1329.17	1282.03	1274.61	1028.06	1011.19	1038.62	1076.26	1111.99	1149.03	1157.61	1163.34	1195.2	1191.24	1139.61	1085.06	1111.47	1108.66	1061.15	1027.61	988.22	1019.3	764.65	778.1	745.93	780.04	820.51	831.72	823.76	862.66	866.51	901.2	902.94	842.7	851.61	802.15	805.54	748.09	765.19	703.43	433.43	466.1	592.19	606.31	621.02	623.44	645.49	603.52	651.35	681.13	724.75	639.9	600.59	619.69	618.97	624.57	546.73	414.28
	989.21	1021.24	998.57	996.95	990.18	1022.16	1043.54	1038.75	1037.29	1051.78	1056.6	1055.78	1089.07	1103.47	1107	1108.19	1056.31	1033.74	1031.81	1152.18	1147.58	1099.31	1039.59	1043.6	1137.64	991.84	1072.92	993.5	1038.16	1076.29	1069.56	980.18	1190.34	1165.71	1140.15	1205.77	981.68	986.38	1035.95	1140.85	991.07	990.4	994.04	1003.36	1143.02	1150.17	1075.8	1099.05	1029.97	1043.4	1041.59	1088.41	1090.69	1097.14	1144.51	1388.64	1273.7	1179.33	1267.34	1282.33	878.85
	0	0	-96126.45	-96126.42	0	96126.45	96126.44	77950.05	-0.01	-77950.07	-146498.23	-197376.55	-224448.3	-224448.3	-197376.52	-146498.2	-77950.06	0	77950.07	146498.2	197376.56	224448.31	224448.3	197376.53	146498.22	120602.91	-0.02	-120602.95	-226659.42	-305377.44	-347262.34	-347262.34	-305377.38	-226659.38	-120602.92	0	120602.93	226659.38	305377.44	347262.38	347262.34	305377.41	226659.39	166451.52	-0.02	-166451.56	-312826.66	-421470.22	-479278.19	-479278.19	-421470.16	-312826.59	-166451.53	0.01	166451.55	312826.59	421470.25	479278.22	479278.19	421470.19	312826.62
